| Transportation | BRUNEI |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 |
| National air transport system: | inventory of registered aircraft operated by air carriers: 10 |
| National air transport system: | annual passenger traffic on registered air carriers: 1,150,003 |
| National air transport system: | annual freight traffic on registered air carriers: 115.147 million mt-km (2015) |
| Civil aircraft registration country code prefix: | V8 (2016) |
| Airports: | 1 (2013) |
| Airports - with paved runways: | total: 1 |
| Airports - with paved runways: | over 3,047 m: 1 (2017) |
| Heliports: | 3 (2013) |
| Pipelines: | condensate 33 km; condensate/gas 86 km; gas 628 km; oil 492 km (2013) |
| Roadways: | total: 3,029 km |
| Roadways: | paved: 2,425 km |
| Roadways: | unpaved: 604 km (2010) |
| Waterways: | 209 km (navigable by craft drawing less than 1.2 m; the Belait, Brunei, and Tutong Rivers are major transport links) (2012) |
| Merchant marine: | total: 9 |
| Merchant marine: | by type: chemical tanker 1, liquefied gas 8 |
| Merchant marine: | foreign-owned: 2 (UK 2) (2010) |
| Ports and terminals: | major seaport(s): Muara |
| Ports and terminals: | oil terminal(s): Lumut, Seria |
| Ports and terminals: | LNG terminal(s) (export): Lumut |
