| Transportation | Germany |
| --- | --- |
| Airports: | 541 (2012) |
| Airports - with paved runways: | total: 322 |
| Airports - with paved runways: | over 3,047 m: 14 |
| Airports - with paved runways: | 2,438 to 3,047 m: 48 |
| Airports - with paved runways: | 1,524 to 2,437 m: 60 |
| Airports - with paved runways: | 914 to 1,523 m: 70 |
| Airports - with paved runways: | under 914 m: 130 (2012) |
| Airports - with unpaved runways: | total: 219 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 2 |
| Airports - with unpaved runways: | 914 to 1,523 m: 32 |
| Airports - with unpaved runways: | under 914 m: 185 (2012) |
| Heliports: | 22 (2012) |
| Pipelines: | gas 24,688 km; oil 3,687 km; refined products 4,875 km (2010) |
| Railways: | total: 41,981 km |
| Railways: | standard gauge: 41,722 km 1.435-m gauge (20,053 km electrified) |
| Railways: | narrow gauge: 220 km 1.000-m gauge (75 km electrified); 39 km 0.750-m gauge (24 km electrified) (2008) |
| Roadways: | total: 644,480 km |
| Roadways: | paved: 644,480 km (includes 12,800 km of expressways) |
| Roadways: | note: includes local roads (2008) |
| Waterways: | 7,467 km (Rhine River carries most goods; Main-Danube Canal links North Sea and Black Sea) (2012) |
| Merchant marine: | total: 427 |
| Merchant marine: | by type: barge carrier 2, bulk carrier 6, cargo 51, carrier 1, chemical tanker 15, container 298, liquefied gas 6, passenger 4, passenger/cargo 24, petroleum tanker 10, refrigerated cargo 3, roll on/roll off 6, vehicle carrier 1 |
| Merchant marine: | foreign-owned: 6 (Finland 3, Netherlands 1, Switzerland 2) |
| Merchant marine: | registered in other countries: 3,420 (Antigua and Barbuda 1094, Australia 2, Bahamas 30, Bermuda 14, Brazil 6, Bulgaria 12, Burma 1, Cayman Islands 3, Cook Islands 1, Curacao 25, Cyprus 192, Denmark 9, Dominica 5, Estonia 1, France 1, Gibraltar 123, Hong Kong 10, Isle of Man 56, Jamaica 10, Liberia 1185, Luxembourg 9, Malta 135, Marshall Islands 248, Morocco 1, Netherlands 86, NZ 2, Panama 24, Papua New Guinea 1, Philippines 2, Portugal 14, Saint Vincent and the Grenadines 3, Singapore 32, Slovakia 3, Spain 4, Sri Lanka 8, Sweden 3, UK 59, US 5, Venezuela 1) (2010) |
| Ports and terminals: | Bremen, Bremerhaven, Duisburg, Hamburg, Karlsruhe, Lubeck, Neuss-Dusseldorf, Rostock, Wilhemshaven |
| Ports and terminals: | oil terminals: Brunsbuttel Canal terminals |
