| Transportation | Lebanon |
| --- | --- |
| National air transport system: | number of registered air carriers: 2 (2015) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 21 (2015) |
| National air transport system: | annual passenger traffic on registered air carriers: 2,583,274 (2015) |
| National air transport system: | annual freight traffic on registered air carriers: 53,902,026 mt-km (2015) |
| Civil aircraft registration country code prefix: | OD (2016) |
| Airports: | 8 (2013) |
| Airports - with paved runways: | total: 5 (2017) |
| Airports - with paved runways: | over 3,047 m: 1 (2017) |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 (2017) |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2017) |
| Airports - with paved runways: | under 914 m: 1 (2017) |
| Airports - with unpaved runways: | total: 3 (2013) |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 (2013) |
| Airports - with unpaved runways: | under 914 m: 1 (2013) |
| Heliports: | 1 (2013) |
| Pipelines: | 88 km gas (2013) |
| Railways: | total: 401 km (2017) |
| Railways: | standard gauge: 319 km 1.435-m gauge (2017) |
| Railways: | narrow gauge: 82 km 1.050-m gauge (2017) |
| Railways: | note: rail system is still unusable due to damage sustained from fighting in the 1980s and in 2006 |
| Roadways: | total: 6,970 km (includes 170 km of expressways) (2005) |
| Merchant marine: | total: 54 (2017) |
| Merchant marine: | by type: bulk carrier 1, container ship 1, general cargo 39, oil tanker 1, other 12 (2017) |
| Ports and terminals: | major seaport(s): Beirut, Tripoli |
| Ports and terminals: | container port(s) (TEUs): Beirut (1,305,038) (2017) |
