| Transportation | Timor-Leste |
| --- | --- |
| Airports: | 6 (2010) |
| Airports - with paved runways: | total: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with paved runways: | 1,524 to 2,437 m: 1 (2010) |
| Airports - with unpaved runways: | total: 4 |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 |
| Airports - with unpaved runways: | under 914 m: 2 (2010) |
| Heliports: | 8 (2010) |
| Roadways: | total: 6,040 km |
| Roadways: | paved: 2,600 km |
| Roadways: | unpaved: 3,440 km (2005) |
| Merchant marine: | total: 1 |
| Merchant marine: | by type: passenger/cargo 1 (2010) |
| Ports and terminals: | Dili |
