| Transportation | Trinidad and Tobago |
| --- | --- |
| National air transport system: | number of registered air carriers: 1 (2020) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 19 |
| National air transport system: | annual passenger traffic on registered air carriers: 2,525,130 (2018) |
| National air transport system: | annual freight traffic on registered air carriers: 41.14 million mt-km (2018) |
| Civil aircraft registration country code prefix: | 9Y (2016) |
| Airports: | 4 (2013) |
| Airports - with paved runways: | total: 2 (2019) |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | total: 2 (2013) |
| Airports - with unpaved runways: | 914 to 1,523 m: 1 (2013) |
| Airports - with unpaved runways: | under 914 m: 1 (2013) |
| Pipelines: | 257 km condensate, 11 km condensate/gas, 1567 km gas, 587 km oil (2013) |
| Merchant marine: | total: 105 |
| Merchant marine: | by type: general cargo 1, other 104 (2019) |
| Ports and terminals: | major seaport(s): Point Fortin, Point Lisas, Port of Spain, Scarborough |
| Ports and terminals: | oil terminal(s): Galeota Point terminal |
| Ports and terminals: | LNG terminal(s) (export): Port Fortin |
