| Transportation | Eritrea |
| --- | --- |
| Airports: | 13 (2012) |
| Airports - with paved runways: | total: 4 |
| Airports - with paved runways: | over 3,047 m: 2 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 (2012) |
| Airports - with unpaved runways: | total: 9 |
| Airports - with unpaved runways: | over 3,047 m: 1 |
| Airports - with unpaved runways: | 2,438 to 3,047 m: 1 |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 5 |
| Airports - with unpaved runways: | 914 to 1,523 m: 2 (2012) |
| Heliports: | 1 (2012) |
| Railways: | total: 306 km |
| Railways: | narrow gauge: 306 km 0.950-m gauge (2008) |
| Roadways: | total: 4,010 km |
| Roadways: | paved: 874 km |
| Roadways: | unpaved: 3,136 km (2000) |
| Merchant marine: | total: 4 |
| Merchant marine: | by type: cargo 2, petroleum tanker 1, roll on/roll off 1 (2010) |
| Ports and terminals: | Assab, Massawa |
