| Transportation | Kuwait |
| --- | --- |
| National air transport system: | number of registered air carriers: 2 (2020) |
| National air transport system: | inventory of registered aircraft operated by air carriers: 44 |
| National air transport system: | annual passenger traffic on registered air carriers: 6,464,847 (2018) |
| National air transport system: | annual freight traffic on registered air carriers: 392.36 million mt-km (2018) |
| Civil aircraft registration country code prefix: | 9K (2016) |
| Airports: | 7 (2013) |
| Airports - with paved runways: | total: 4 (2019) |
| Airports - with paved runways: | over 3,047 m: 1 |
| Airports - with paved runways: | 2,438 to 3,047 m: 2 |
| Airports - with paved runways: | 914 to 1,523 m: 1 |
| Airports - with unpaved runways: | total: 3 (2013) |
| Airports - with unpaved runways: | 1,524 to 2,437 m: 1 (2013) |
| Airports - with unpaved runways: | under 914 m: 2 (2013) |
| Heliports: | 4 (2013) |
| Pipelines: | 261 km gas, 540 km oil, 57 km refined products (2013) |
| Roadways: | total: 5,749 km (2018) |
| Roadways: | paved: 4,887 km (2018) |
| Roadways: | unpaved: 862 km (2018) |
| Merchant marine: | total: 154 |
| Merchant marine: | by type: general cargo 15, oil tanker 24, other 115 (2019) |
| Ports and terminals: | major seaport(s): Ash Shu'aybah, Ash Shuwaykh, Az Zawr (Mina' Sa'ud), Mina' 'Abd Allah, Mina' al Ahmadi |
